Category,Count,Percentage
courier_and_delivery_services,30,0.030605686536558492
home_inspector,31,0.03162587608777711
paving_contractor,13,0.013262464165842014
bookkeeper,9,0.009181705960967547
medical_center,56,0.057130614868242516
divorce_and_family_law,134,0.1367053998632946
european_restaurant,6,0.006121137307311699
irish_pub,13,0.013262464165842014
car_wash,64,0.06529213127799145
brake_service_and_repair,25,0.02550473878046541
dry_cleaning,193,0.19689658338519297
industrial_company,51,0.05202966711214944
masonry_concrete,43,0.04386815070240051
vietnamese_restaurant,125,0.12752369390232704
campus_building,109,0.11120066108282918
used_car_dealer,57,0.05815080441946114
syrian_restaurant,4,0.004080758204874466
installment_loans,210,0.21423980575590945
swimming_instructor,50,0.05100947756093082
gardener,26,0.026524928331684027
photo_booth_rental,6,0.006121137307311699
collection_agencies,6,0.006121137307311699
sports_club_and_league,255,0.2601483355607472
bagel_shop,26,0.026524928331684027
resort,36,0.03672682384387019
go_kart_club,1,0.0010201895512186164
baseball_field,10,0.010201895512186164
professional_sports_league,1,0.0010201895512186164
music_venue,109,0.11120066108282918
ski_resort,7,0.0071413268585303145
airline,16,0.016323032819497863
airport_lounge,9,0.009181705960967547
beer_bar,11,0.011222085063404781
travel_company,18,0.018363411921935094
health_consultant,8,0.008161516409748932
performing_arts,28,0.028565307434121258
computer_hardware_company,77,0.07855459544383347
boat_rental_and_training,13,0.013262464165842014
b2b_jewelers,36,0.03672682384387019
meditation_center,24,0.024484549229246796
food_delivery_service,96,0.09793819691698719
biotechnology_company,21,0.021423980575590945
computer_wholesaler,11,0.011222085063404781
lighting_store,81,0.08263535364870793
wholesaler,12,0.012242274614623398
janitorial_services,49,0.04998928800971221
skate_shop,9,0.009181705960967547
audio_visual_equipment_store,27,0.02754511788290264
fishmonger,32,0.032646065638995726
b2b_science_and_technology,48,0.04896909845849359
tanning_salon,42,0.04284796115118189
theme_restaurant,6,0.006121137307311699
middle_school,31,0.03162587608777711
tiling,8,0.008161516409748932
telephone_services,4,0.004080758204874466
vegetarian_restaurant,85,0.0867161118535824
gift_shop,66,0.06733251038042867
translating_and_interpreting_services,54,0.05509023576580528
dermatologist,32,0.032646065638995726
notary_public,62,0.06325175217555422
wills_trusts_and_probate,15,0.015302843268279246
private_investigation,47,0.04794890890727497
credit_and_debt_counseling,29,0.02958549698533988
executive_search_consultants,10,0.010201895512186164
media_agency,28,0.028565307434121258
siding,4,0.004080758204874466
florist,33,0.033666255190214336
amateur_sports_team,16,0.016323032819497863
scuba_diving_center,7,0.0071413268585303145
orthodontist,37,0.037747013395088805
fish_and_chips_restaurant,32,0.032646065638995726
football_stadium,7,0.0071413268585303145
non_governmental_association,52,0.053049856663368054
pest_control_service,81,0.08263535364870793
adult_entertainment,17,0.01734322237071648
garage_door_service,34,0.03468644474143296
b2b_textiles,43,0.04386815070240051
corporate_office,112,0.11426122973648503
office_cleaning,13,0.013262464165842014
cinema,114,0.11630160883892228
educational_supply_store,12,0.012242274614623398
solar_installation,17,0.01734322237071648
jewelry_and_watches_manufacturer,19,0.01938360147315371
roofing,190,0.1938360147315371
land_surveying,3,0.0030605686536558496
web_hosting_service,3,0.0030605686536558496
real_estate_investment,34,0.03468644474143296
automobile_registration_service,2,0.002040379102437233
online_shop,102,0.10405933422429887
electricity_supplier,2,0.002040379102437233
anglican_church,45,0.04590852980483774
dog_trainer,22,0.022444170126809562
teeth_whitening,11,0.011222085063404781
dog_walkers,65,0.06631232082921007
nutritionist,65,0.06631232082921007
glass_manufacturer,5,0.005100947756093082
criminal_defense_law,78,0.07957478499505208
tennis_court,43,0.04386815070240051
it_consultant,9,0.009181705960967547
